iid,gender,age,field_of_study,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,avg_attr,avg_sinc,avg_intel,avg_fun,avg_amb,avg_shar,yes_freq
54,1,28,8,2,1,1,5,5,1,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,40,20,20,20,0,0,4.352941176470588,6.117647058823529,6.676470588235294,4.647058823529412,6.411764705882353,4.823529411764706,0
55,1,23,1,1,1,1,6,4,2,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,20,25,25,10,10,10,6.117647058823529,7.0588235294117645,6.9411764705882355,6.9411764705882355,6.764705882352941,5.470588235294118,0.35294117647058826
56,0,23,11,2,10,9,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,17,18,18,15,17,15,7.555555555555555,7,6.666666666666667,6.888888888888889,7.111111111111111,4.888888888888889,0.6666666666666666
57,0,22,11,2,10,10,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,10,20,20,20,15,15,5.444444444444445,7.777777777777778,6.888888888888889,6,5.777777777777778,4.666666666666667,0.2222222222222222
60,0,29,3,6,3,10,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,5,20,25,15,15,20,4.888888888888889,7,6.333333333333333,6.777777777777778,6.222222222222222,4.666666666666667,0.2222222222222222
61,0,28,7,2,1,5,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,15,15,20,15,15,20,4,7.222222222222222,7.555555555555555,5.333333333333333,5.666666666666667,4.222222222222222,0.2222222222222222
62,0,26,1,3,1,1,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,30,10,20,20,10,10,8.125,7.375,7.5,6.75,6.5,6.375,0.875
63,0,24,1,4,1,3,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,5,15,45,25,0,10,4.625,6.875,7,6,5.5,4.625,0.125
64,0,27,11,4,6,3,2,6,5,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,10,25,25,10,10,20,5.3,6.2,7.4,5.6,6.5,4.7,0.2
65,0,23,11,6,6,3,2,5,3,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,17,17,17,17,17,15,6.5,7.3,7,7.8,6.2,5.7,0.4
66,1,29,8,3,1,1,2,6,4,7,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,20,25,15,15,53,20,5,7.25,6.875,6.375,6.625,4.625,0.25
67,1,22,1,6,1,1,6,5,2,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,20,15,20,20,5,10,6.428571428571429,7.857142857142857,7.714285714285714,7,7,5,0.42857142857142855
68,1,27,6,1,1,1,5,4,3,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,21,17,22,20,8,13,5.5,5.8,7.8,4.9,6,4.7,0.2
69,1,28,8,2,2,2,6,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,50,10,30,10,0,0,7.111111111111111,7.444444444444445,7.666666666666667,6.888888888888889,7.111111111111111,6.111111111111111,0.6666666666666666
70,1,26,8,2,5,1,5,2,1,7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,25,10,20,20,15,10,6,7.444444444444445,8.555555555555555,8,8.444444444444445,6.222222222222222,0.3333333333333333
71,1,21,1,2,6,7,5,6,2,14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,60,15,0,15,0,10,5,8.222222222222221,7.777777777777778,5.222222222222222,7.333333333333333,5.222222222222222,0.4444444444444444
72,1,22,5,2,8,1,5,6,1,7,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,21,20,19,20,10,10,6.4,7.4,6.5,5,5.6,4.8,0.2
73,1,22,8,2,7,3,6,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,30,10,20,30,0,10,6,7.375,7.625,7.375,8.25,5.625,0.375
74,1,25,5,2,3,1,5,7,2,5,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,30,0,30,30,10,0,5.3,7.3,7.6,6,7.2,4.9,0.3
75,1,24,1,6,3,3,6,5,3,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,20,20,20,20,10,10,5.625,7.375,7.875,5.5,7.25,4.625,0.25
76,0,34,6,2,5,7,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,10,10,30,20,10,20,5.785714285714286,7,7.785714285714286,7.571428571428571,6.714285714285714,6.071428571428571,0.42857142857142855
77,0,22,11,2,2,2,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,15,20,20,20,15,10,6.571428571428571,7.214285714285714,7.214285714285714,6.714285714285714,6.5,5.785714285714286,0.42857142857142855
78,0,23,11,3,1,4,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,10,25,20,10,20,15,6.038461538461538,6.615384615384615,6.269230769230769,5.3076923076923075,4.923076923076923,4.6923076923076925,0.23076923076923078
79,0,26,5,4,8,8,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,10,20,15,20,20,15,5.666666666666667,7.666666666666667,7.533333333333333,6.866666666666666,6.266666666666667,6.2,0.4666666666666667
80,0,27,10,4,3,1,1,5,4,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,10,20,20,10,20,20,6.214285714285714,7.857142857142857,7.428571428571429,5.75,6.571428571428571,4.928571428571429,0.21428571428571427
81,0,28,6,2,6,9,5,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,10,10,20,20,20,20,7.8,7.066666666666666,7.533333333333333,6.933333333333334,8,6.666666666666667,0.7333333333333333
82,0,25,9,6,2,7,1,3,2,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,20,20,20,20,10,10,6.4,7.466666666666667,7.133333333333334,7,6.133333333333334,5.3,0.5333333333333333
83,0,35,8,3,1,5,2,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,10,32,20,12,11,15,7.142857142857143,8,7.571428571428571,7.428571428571429,7.071428571428571,6.392857142857143,0.7857142857142857
84,0,32,10,3,1,1,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,30,30,30,5,0,5,6.4,7.533333333333333,7.7,6.966666666666667,6.8,5.8,0.4666666666666667
85,0,30,11,2,3,5,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,20,25,15,15,15,10,6.076923076923077,7.461538461538462,7.230769230769231,6.3076923076923075,6.076923076923077,5.846153846153846,0.23076923076923078
86,0,22,3,2,1,1,2,7,1,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,15,20,20,20,5,20,7,7.733333333333333,7.8,7.4,7.266666666666667,6.066666666666666,0.7333333333333333
87,0,23,11,2,8,10,1,3,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,15,15,20,15,15,20,7.384615384615385,7.384615384615385,7.076923076923077,6.923076923076923,6.461538461538462,5.269230769230769,0.6153846153846154
88,0,23,11,2,8,7,1,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,15,15,20,15,20,15,6.733333333333333,7.466666666666667,7.066666666666666,6.666666666666667,6.533333333333333,6.066666666666666,0.3333333333333333
89,0,27,8,2,3,2,1,7,3,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,25,15,20,20,20,0,6.733333333333333,7.2,7.466666666666667,5.8,7.2,4.666666666666667,0.3333333333333333
90,0,23,10,4,4,1,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,15,21,18,18,10,18,5.642857142857143,7.857142857142857,7.571428571428571,4.928571428571429,5.785714285714286,4.071428571428571,0.14285714285714285
91,0,25,1,6,6,8,1,3,2,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,15,3,50,20,2,10,8.333333333333334,7.933333333333334,8.2,7.8,8.2,6.733333333333333,0.8666666666666667
92,0,29,9,2,1,2,5,6,1,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,10,20,20,20,20,10,7.769230769230769,7.461538461538462,7.384615384615385,6.153846153846154,6.6923076923076925,5.846153846153846,0.6153846153846154
93,0,29,5,2,2,2,1,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,14,20,18,24,18,6,6.833333333333333,7.833333333333333,7.866666666666666,7.433333333333334,6.9,6.266666666666667,0.7333333333333333
94,1,28,8,4,6,8,2,6,3,7,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,20,20,20,10,10,20,3.5714285714285716,5.142857142857143,6.857142857142857,5,7.642857142857143,4.428571428571429,0.14285714285714285
95,1,26,8,2,7,5,1,5,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,18,18,18,19,13,14,4.6875,7.0625,7.1875,5.4375,6.75,5.0625,0.125
96,1,26,5,3,3,6,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,10,20,20,22,6,22,4.4375,7,7.625,5.25,7.1875,4.75,0
97,1,29,10,2,4,1,2,5,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,50,7,20,23,0,0,6.769230769230769,7.076923076923077,7.923076923076923,6.923076923076923,7.384615384615385,5.923076923076923,0.46153846153846156
98,1,39,11,2,1,1,4,4,2,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,40,20,15,20,0,5,5.823529411764706,7.529411764705882,7.0588235294117645,4.235294117647059,6.0588235294117645,4.352941176470588,0.11764705882352941
99,1,28,1,2,1,1,3,3,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,30,30,20,10,10,0,8,7.6,7.8,7.466666666666667,7.6,7.2,0.9333333333333333
100,1,30,8,6,8,9,1,3,2,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,20,25,25,15,5,10,4.928571428571429,7.928571428571429,8.071428571428571,6,7.642857142857143,5.642857142857143,0.35714285714285715
101,1,22,8,4,3,2,3,4,3,7,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,40,8,10,12,10,20,4.25,7.625,7.9375,4.6875,7,4.4375,0
102,1,32,10,2,2,6,1,4,4,2,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,30,10,30,20,10,0,4.375,7.125,7.1875,5,6.25,4.125,0.125
103,1,26,8,2,8,9,2,4,1,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,40,5,20,10,10,15,6.266666666666667,7.066666666666666,6.866666666666666,6.4,7,5.133333333333334,0.2
104,1,27,10,2,6,8,2,5,3,2,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,20,15,25,15,20,5,7.266666666666667,7.2,7.666666666666667,6.933333333333334,7.066666666666666,5.733333333333333,0.4666666666666667
105,1,25,1,1,1,1,2,7,1,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,30,15,20,20,0,5,6.352941176470588,7.9411764705882355,8.176470588235293,8.058823529411764,7.647058823529412,6.588235294117647,0.5294117647058824
106,1,22,1,3,1,3,5,7,3,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,10,20,35,10,5,20,5.071428571428571,7.5,7.571428571428571,6.571428571428571,6.928571428571429,5,0.14285714285714285
107,1,21,7,2,1,1,1,4,1,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,19,24,21,23,5,8,6.75,8.25,8.0625,8,7.4375,7.125,0.625
108,1,24,5,2,1,1,1,6,3,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,10,20,35,20,0,15,7.166666666666667,7,7.5,6.777777777777778,6.944444444444445,6.111111111111111,0.5555555555555556
109,1,25,14,4,1,1,1,4,1,6,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,15,10,30,10,5,30,5.875,7.75,8.0625,7,7.25,6.4375,0.375
110,1,28,14,2,4,6,2,6,1,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,20,20,15,15,5,25,5.714285714285714,6.785714285714286,7.142857142857143,7,7.214285714285714,5.642857142857143,0.21428571428571427
111,1,27,8,4,7,1,5,5,1,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,20,20,20,20,10,10,5,7.428571428571429,7.5,6.571428571428571,7.142857142857143,5.5,0.07142857142857142
112,0,20,3,6,1,1,1,3,1,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,15,15,20,25,10,15,7.9,7.3,7.5,7,6.2,6.4,0.8
113,0,21,8,2,3,8,1,4,1,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,15,15,25,25,15,5,6.4,6.7,7,6.6,6,6.1,0.4
115,0,21,3,2,10,7,1,5,1,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,20,10,30,20,15,5,7.222222222222222,6.333333333333333,6.555555555555555,7.222222222222222,6.444444444444445,6.888888888888889,0.5555555555555556
116,0,21,13,2,4,1,1,1,1,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,15,15,25,25,20,0,6.666666666666667,6.777777777777778,6.333333333333333,6.111111111111111,6.111111111111111,6,0.5555555555555556
117,0,21,8,2,8,10,1,3,1,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,20,10,20,20,20,10,7.777777777777778,7.222222222222222,7.444444444444445,7.444444444444445,7.444444444444445,7,0.5555555555555556
119,0,19,16,3,5,2,1,3,1,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,50,15,10,10,10,5,7.666666666666667,7.333333333333333,6.666666666666667,6.444444444444445,6.444444444444445,5.888888888888889,0.7777777777777778
120,0,20,6,3,1,4,5,4,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,10,10,35,35,8,2,7.8,6.6,7.5,7.3,6.9,6.2,0.7
121,0,21,3,2,8,1,5,7,1,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,35,15,5,30,15,0,4.8,6.5,7.2,4.8,5.4,4,0.2
122,1,22,1,6,1,1,1,3,1,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,40,15,10,20,5,10,8.375,8.875,8.625,8.875,7.625,7.5,0.875
123,1,18,5,4,3,5,2,5,1,4,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,50,10,20,5,5,10,6.375,9,7.25,5.5,6.625,4.375,0.375
124,1,22,8,4,1,1,2,4,1,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,40,10,10,10,10,20,3.75,5.25,6.75,2.625,8.5,1.375,0
125,1,21,4,2,3,1,1,3,1,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,20,15,20,15,12,18,8,8.333333333333334,8.555555555555555,8.444444444444445,8.222222222222221,6.777777777777778,0.8888888888888888
126,1,22,7,2,7,5,4,6,3,4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,25,40,15,10,5,5,6.25,8.5,8.625,6.75,8.125,6.375,0.375
127,1,22,5,2,1,1,6,5,1,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,25,25,25,15,5,5,7.333333333333333,5.888888888888889,6.111111111111111,6.111111111111111,6.111111111111111,5.111111111111111,0.5555555555555556
128,1,21,5,2,3,1,1,3,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,40,15,10,20,10,5,7.875,8.625,8.125,6.875,6.625,5,0.75
131,1,19,5,4,4,1,2,7,3,10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,25,10,20,20,10,15,4.833333333333333,8,6.833333333333333,4.333333333333333,6.333333333333333,1.5,0.16666666666666666
132,0,27,8,2,10,1,1,7,2,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,16.67,16.67,16.67,16.67,16.67,16.67,7.75,7.25,6.75,7,7.25,6.5,1
