iid,gender,age,field_of_study,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,avg_attr,avg_sinc,avg_intel,avg_fun,avg_amb,avg_shar,yes_freq
98,1,39,11,2,1,1,4,4,2,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,40,20,15,20,0,5,5.823529411764706,7.529411764705882,7.0588235294117645,4.235294117647059,6.0588235294117645,4.352941176470588,0.1176470588235294
370,1,28,8,2,7,4,3,4,1,7,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,50,10,10,10,10,10,8.285714285714286,7.857142857142857,8.285714285714286,7.714285714285714,7.785714285714286,7.142857142857143,0.8571428571428571
79,0,26,5,4,8,8,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,10,20,15,20,20,15,5.666666666666667,7.666666666666667,7.533333333333333,6.866666666666666,6.266666666666667,6.2,0.4666666666666667
56,0,23,11,2,10,9,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,17,18,18,15,17,15,7.555555555555555,7,6.666666666666667,6.888888888888889,7.111111111111111,4.888888888888889,0.6666666666666666
450,1,25,13,2,3,7,2,6,2,9,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,50,5,5,5,5,30,5.6,7.3,8.2,7,7.9,5.5,0.3
87,0,23,11,2,8,10,1,3,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,15,15,20,15,15,20,7.384615384615385,7.384615384615385,7.076923076923077,6.923076923076923,6.461538461538462,5.269230769230769,0.6153846153846154
436,0,23,1,2,9,1,1,6,1,1,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,28,8,17,22,17,8,7.384615384615385,6.230769230769231,6.846153846153846,7.538461538461538,7.230769230769231,5.384615384615385,0.5384615384615384
524,0,25,4,4,9,6,2,7,4,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5,15,20,25,20,10,10,6.894736842105263,7.7894736842105265,7.842105263157895,7.684210526315789,7,6,0.6842105263157895
497,0,24,10,2,5,5,1,7,1,2,7,5,1,8,7,6,7,3,1,7,8,6,9,9,8,8,7,10,20,20,20,20,10,6.428571428571429,7.142857142857143,7.285714285714286,6.857142857142857,7,5.857142857142857,0.42857142857142855
482,1,30,8,2,2,6,2,6,1,7,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,20,10,22,20,15,13,6.083333333333333,7.25,7.666666666666667,7.166666666666667,7.916666666666667,6.583333333333333,0.6666666666666666
347,0,26,9,1,1,1,5,6,1,13,1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,30,5,10,20,30,5,3.2,6.466666666666667,5.866666666666666,4.2,4.6,2.6666666666666665,0
328,0,30,9,2,1,1,2,3,1,2,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,22,12,30,25,10,1,7.333333333333333,7.777777777777778,7.555555555555555,7,6.888888888888889,6.222222222222222,0.5555555555555556
396,0,25,15,4,1,5,2,7,2,6,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,15,18,18,18,15,16,5.214285714285714,6.857142857142857,6.714285714285714,5.785714285714286,6.285714285714286,5.357142857142857,0.35714285714285715
97,1,29,10,2,4,1,2,5,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,50,7,20,23,0,0,6.769230769230769,7.076923076923077,7.923076923076923,6.923076923076923,7.384615384615385,5.923076923076923,0.4615384615384616
139,1,37,5,4,6,1,1,6,3,2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,18.75,16.67,18.75,20.83,12.5,12.5,5.25,6.75,7.5,5.25,7.75,4.5,0
237,0,34,7,2,10,1,3,7,4,6,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,10,20,20,20,20,10,5,7.6,7.8,5.8,6,3.8,0.4
18,1,27,8,2,8,8,1,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,33.33,11.11,11.11,11.11,11.11,22.22,5.111111111111111,7.555555555555555,7.888888888888889,5.333333333333333,7.777777777777778,5.555555555555555,0.3333333333333333
389,0,21,1,2,1,1,2,3,1,1,7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7,8,20,30,20,20,0,10,7.588235294117647,7.117647058823529,7.647058823529412,7.794117647058823,7.323529411764706,5.294117647058823,0.9411764705882352
107,1,21,7,2,1,1,1,4,1,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,19,24,21,23,5,8,6.75,8.25,8.0625,8,7.4375,7.125,0.625
221,1,27,8,4,6,1,2,6,3,7,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,15.56,17.78,17.78,17.78,17.78,13.33,6.285714285714286,7.928571428571429,8.571428571428571,6.5,7.785714285714286,5.928571428571429,0.35714285714285715
160,1,29,8,1,3,4,2,5,2,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,16,18,18,18,14,16,7.5,7.285714285714286,7.571428571428571,8.142857142857142,8,6.142857142857143,0.2857142857142857
137,1,26,8,4,1,1,1,4,1,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,17.39,17.39,15.22,17.39,13.04,19.57,7.5,8.25,7.25,8.5,7.5,8.25,0.25
254,0,22,7,2,8,3,2,6,2,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,25,7,25,25,8,10,5.888888888888889,7.277777777777778,7.888888888888889,6.388888888888889,6.666666666666667,5.5,0.5
151,0,28,13,2,1,2,3,3,1,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,14.55,16.36,18.18,18.18,16.36,16.36,8.833333333333334,8.083333333333334,7.5,7.666666666666667,6.833333333333333,5.833333333333333,0.9166666666666666
149,0,28,13,2,3,3,1,5,2,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,8.51,19.15,19.15,19.15,19.15,14.89,7.538461538461538,7,7.461538461538462,6.538461538461538,6.769230769230769,6.461538461538462,0.7692307692307693
7,0,22,1,4,2,4,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,7.9,7.6,8.2,7,7.5,6.7,0.7
6,0,23,1,4,1,1,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,6.8,7.8,8.6,7,8,6.3,0.5
428,1,27,8,4,8,8,3,2,1,7,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,60,10,10,10,10,0,6,7.5,8.333333333333334,6.833333333333333,8.666666666666666,6.666666666666667,0.6666666666666666
167,1,23,10,2,1,1,2,6,2,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,18.6,13.95,18.6,16.28,16.28,16.28,6.153846153846154,6.923076923076923,7.461538461538462,6.769230769230769,6.6923076923076925,5.769230769230769,0.2307692307692308
239,0,34,10,2,6,6,2,6,3,7,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,10,25,20,20,5,20,5.666666666666667,7.666666666666667,7.333333333333333,5.166666666666667,4.833333333333333,4.5,0.3333333333333333
485,1,29,3,1,4,3,2,6,2,2,6,10,9,7,7,7,4,6,6,9,8,8,8,7,8,7,4,20,15,20,15,15,15,4.214285714285714,6,6,4.571428571428571,4.714285714285714,4.5,0.14285714285714285
31,0,24,1,2,4,8,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,35,10,20,20,10,5,7.818181818181818,7.181818181818182,7.272727272727272,6.363636363636363,7.272727272727272,5.818181818181818,0.9090909090909092
252,0,28,13,3,1,1,1,6,2,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,0,25,25,25,25,0,6.735294117647059,7.823529411764706,7.235294117647059,7.235294117647059,6.823529411764706,5.764705882352941,0.5882352941176471
181,0,22,4,1,7,8,1,5,5,2,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,15.38,19.23,19.23,17.31,17.31,11.54,7.714285714285714,8.428571428571429,7.428571428571429,6.714285714285714,7.142857142857143,6,0.5714285714285714
438,0,23,11,2,1,5,1,4,1,11,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,14,15,16,17,18,20,6.5,7,6.916666666666667,6.583333333333333,5.916666666666667,5.25,0.75
142,0,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,14.29,14.29,21.43,21.43,19.05,9.52,7.666666666666667,7.333333333333333,7.583333333333333,6.916666666666667,6.333333333333333,5.833333333333333,0.6666666666666666
284,1,27,8,2,1,5,1,5,2,6,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,25,20,25,20,10,0,5.631578947368421,6.631578947368421,6.947368421052632,5.842105263157895,6,4.684210526315789,0.3157894736842105
421,0,25,11,4,5,5,1,4,3,11,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,20,10,30,20,10,10,6.571428571428571,6.714285714285714,6.857142857142857,6,6.142857142857143,5.142857142857143,0.5714285714285714
200,0,25,8,2,1,1,1,7,2,9,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,13.21,18.87,18.87,16.98,16.98,15.09,7.5,6.944444444444445,7.055555555555555,6.722222222222222,7,6.166666666666667,0.8333333333333334
12,1,22,1,2,1,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,7.777777777777778,7.222222222222222,7.777777777777778,7.333333333333333,7.555555555555555,6.111111111111111,0.4444444444444444
245,1,32,7,2,1,6,4,5,2,1,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,18,10,30,10,10,22,4.625,6.125,8.5,5.5,7,5.625,0.25
268,0,24,4,3,1,1,5,6,1,4,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,30,20,20,10,15,5,8.558823529411764,8.441176470588236,8.323529411764707,7.617647058823529,7.794117647058823,7.264705882352941,0.9411764705882352
157,0,28,8,4,5,3,1,6,1,7,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,14.29,16.33,16.33,18.37,18.37,16.33,7.6923076923076925,7.076923076923077,7.384615384615385,7.384615384615385,7.6923076923076925,5.769230769230769,0.7692307692307693
274,1,24,3,3,3,3,3,4,2,2,3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8,7,30,10,20,20,10,10,5.473684210526316,6.157894736842105,6.315789473684211,5.947368421052632,6.105263157894737,4.894736842105263,0.3157894736842105
384,0,23,9,2,9,6,2,5,3,10,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,20,20,20,20,20,0,7,7.533333333333333,7.333333333333333,7.866666666666666,7,7.1,0.7333333333333333
68,1,27,6,1,1,1,5,4,3,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,21,17,22,20,8,13,5.5,5.8,7.8,4.9,6,4.7,0.2
147,0,26,8,4,3,3,5,5,1,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,18,18,20,18,16,10,6.3076923076923075,7.230769230769231,7,7.923076923076923,6.3076923076923075,5.461538461538462,0.38461538461538464
164,1,27,7,2,1,1,1,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,20.51,23.08,20.51,17.95,2.56,15.38,6.6923076923076925,8,8.153846153846153,6.923076923076923,6.769230769230769,6.153846153846154,0.2307692307692308
493,1,20,13,4,1,1,5,6,5,13,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,30,10,10,30,10,10,7.25,7.583333333333333,7.083333333333333,7.333333333333333,7.166666666666667,6,0.5833333333333334
518,0,23,15,2,2,1,5,7,2,6,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,20,25,25,30,5,5,7,7.333333333333333,6.809523809523809,7.380952380952381,6.571428571428571,4.9523809523809526,0.6190476190476191
429,1,27,8,2,1,1,2,2,2,7,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,55,10,15,15,5,0,6.8,6.8,6.6,5.6,7.8,4,0.4
440,1,21,1,2,8,2,1,7,2,1,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,35,5,30,20,5,5,8.444444444444445,7.888888888888889,8.777777777777779,8.333333333333334,8.11111111111111,7.111111111111111,0.5555555555555556
472,0,25,5,3,1,3,2,4,2,5,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,10,25,25,20,10,10,7.214285714285714,7.857142857142857,7.857142857142857,6.571428571428571,6.857142857142857,5.571428571428571,0.42857142857142855
365,1,30,8,2,1,1,1,2,1,10,7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,31.58,10.53,15.79,21.05,10.53,10.53,7.230769230769231,7.769230769230769,7.846153846153846,7.615384615384615,7.769230769230769,6.846153846153846,0.6153846153846154
501,0,26,10,2,7,4,5,4,3,2,5,4,8,8,9,9,6,1,3,9,7,9,9,9,10,7,6,30,10,20,10,10,20,6.333333333333333,7.5,6.833333333333333,7.166666666666667,6.833333333333333,6.166666666666667,0.5
20,1,24,8,2,1,1,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,100,0,0,0,0,0,7.5,7.3,7.9,8.2,8.4,7.3,0.9
218,1,24,10,2,9,5,1,4,2,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,20.51,5.13,23.08,12.82,17.95,20.51,5.714285714285714,7.785714285714286,8.428571428571429,5.714285714285714,8.071428571428571,5.142857142857143,0.21428571428571427
188,1,21,5,2,1,1,2,3,1,2,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,15.56,11.11,22.22,15.56,20,15.56,4.333333333333333,6.333333333333333,6.444444444444445,6.222222222222222,6.444444444444445,5.333333333333333,0.2222222222222222
352,0,29,9,6,6,6,2,4,3,6,8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,20,20,20,10,10,20,5.888888888888889,7.944444444444445,7,5.277777777777778,5.5,4.611111111111111,0.2222222222222222
331,0,34,9,2,1,1,1,6,3,2,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,15,15,10,25,10,25,4.625,6.875,6.25,4.875,6,4.875,0.125
387,0,25,3,2,5,2,2,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,20,15,25,15,15,10,8.26923076923077,7.6923076923076925,7.538461538461538,7.423076923076923,6.6923076923076925,6,0.7692307692307693
376,1,25,8,4,10,7,2,5,2,10,4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,30,10,15,20,15,10,6.4375,7.6875,8.5,6.875,8.125,6.25,0.5625
153,0,28,7,4,1,1,2,6,3,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,9.76,19.51,19.51,14.63,19.51,17.07,6.461538461538462,8,7.076923076923077,5.846153846153846,6.461538461538462,4.6923076923076925,0.38461538461538464
32,0,27,3,4,1,1,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,50,0,50,0,0,0,6.714285714285714,7.642857142857143,8.071428571428571,7,7.285714285714286,5.428571428571429,0.5714285714285714
439,0,29,9,2,1,5,2,3,2,2,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,20,10,50,5,10,5,7.428571428571429,5.928571428571429,6.928571428571429,6,5.5,4.5,0.6428571428571429
378,1,29,8,2,3,2,6,5,2,7,9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,25,15,20,20,10,10,6.714285714285714,7.285714285714286,7.142857142857143,6.571428571428571,6.642857142857143,6.071428571428571,0.35714285714285715
532,1,26,5,4,8,3,1,2,2,5,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,25,20,20,20,5,10,3.75,7.65,7.45,3.55,6.35,3.55,0.2
356,0,27,3,2,2,4,1,7,2,3,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,15,25,20,20,0,20,7.988888888888889,7.666666666666667,7.888888888888889,5.555555555555555,6.888888888888889,6,0.4444444444444444
496,0,23,5,4,1,1,1,5,2,2,8,1,8,7,7,7,8,1,1,7,3,3,3,5,5,5,5,20,30,20,20,10,0,7.5,8.5,8.5,6.75,6.25,7,1
348,0,21,9,4,3,3,2,6,1,2,3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,15,25,15,15,15,15,4.705882352941177,7.470588235294118,7.176470588235294,6.588235294117647,6.294117647058823,5.117647058823529,0.0588235294117647
307,0,27,9,4,1,3,5,7,2,2,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,10,20,20,15,20,15,7.083333333333333,7.75,7.666666666666667,7.166666666666667,6.333333333333333,5.916666666666667,0.6666666666666666
69,1,28,8,2,2,2,6,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,50,10,30,10,0,0,7.111111111111111,7.444444444444445,7.666666666666667,6.888888888888889,7.111111111111111,6.111111111111111,0.6666666666666666
203,0,22,2,2,4,10,6,6,2,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,16,20,18,20,18,8,6.894736842105263,7.368421052631579,8,6.315789473684211,6.157894736842105,5.7894736842105265,0.7368421052631579
349,0,33,3,2,1,7,1,4,2,7,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,25,20,10,20,20,5,8.125,8.0625,7.4375,7.625,7.3125,6.4375,0.6875
350,0,31,10,2,9,5,2,7,3,4,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,12,25,25,8,15,15,7.666666666666667,7.777777777777778,7.611111111111111,7.277777777777778,7.111111111111111,6.388888888888889,0.7222222222222222
280,1,25,10,2,2,1,3,6,2,2,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,25,20,30,15,5,5,4.947368421052632,7.105263157894737,7.947368421052632,5.473684210526316,6.105263157894737,5.105263157894737,0.2631578947368421
474,0,30,10,1,1,1,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,15,20,10,30,5,20,7.857142857142857,7.857142857142857,8.142857142857142,8.071428571428571,7.785714285714286,6.928571428571429,0.7857142857142857
